Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
C,C,C,A,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,C,C,C,Solar Electricity,Electrical and Renewable Energy
F,D,B,F,C,F,Computer,Electrical and Computer Engineering
C,D,A,B,C,C,Networks,Electrical and Computer Engineering
C,D,F,D,B,C,Electronics,Electronics and Telecommunication Engineering
C,B,A,A,F,D,Electronics,Electronics and Telecommunication Engineering
F,A,B,D,C,F,Networks,Electrical and Computer Engineering
A,A,C,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,B,D,C,C,Computer,Electrical and Computer Engineering
D,F,C,A,A,D,Solar Electricity,Electrical and Renewable Energy
F,A,C,F,B,F,Networks,Electrical and Computer Engineering
B,F,D,B,D,F,Computer,Electrical and Computer Engineering
A,A,F,A,B,A,Electronics,Electronics and Telecommunication Engineering
D,A,D,D,B,C,Computer,Electrical and Computer Engineering
C,C,B,A,A,B,Solar Electricity,Electrical and Renewable Energy
B,D,D,F,C,C,Computer,Electrical and Computer Engineering
A,C,C,D,D,D,Electronics,Electronics and Telecommunication Engineering
F,A,B,B,F,F,Solar Electricity,Electrical and Renewable Energy
B,D,D,C,B,F,Solar Electricity,Electrical and Renewable Energy
B,D,A,B,F,A,Solar Electricity,Electrical and Renewable Energy
D,D,F,A,F,F,Electronics,Electronics and Telecommunication Engineering
A,F,A,C,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,B,F,F,B,Electronics,Electronics and Telecommunication Engineering
D,B,D,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,C,D,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,D,F,F,D,Electronics,Unknown
B,C,B,A,C,B,Computer,Electrical and Computer Engineering
A,B,B,B,D,B,Electronics,Electronics and Telecommunication Engineering
F,D,B,C,B,A,Solar Electricity,Electrical and Renewable Energy
F,B,B,F,A,D,Computer,Electrical and Computer Engineering
A,C,D,A,C,B,Networks,Electrical and Computer Engineering
F,B,A,A,A,C,Networks,Electrical and Computer Engineering
C,A,C,C,B,D,Networks,Electrical and Computer Engineering
F,B,C,F,D,C,Solar Electricity,Electrical and Renewable Energy
C,A,F,B,B,A,Solar Electricity,Electrical and Renewable Energy
B,B,B,B,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,B,F,D,F,Solar Electricity,Electrical and Renewable Energy
D,A,B,D,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,A,B,F,C,Networks,Electrical and Computer Engineering
B,F,B,D,C,A,Electronics,Electronics and Telecommunication Engineering
F,D,F,F,F,C,Electronics,Unknown
A,D,F,A,A,D,Solar Electricity,Electrical and Renewable Energy
A,D,A,F,F,F,Networks,Electrical and Computer Engineering
C,A,B,A,C,F,Networks,Electrical and Computer Engineering
D,D,D,F,D,D,Domestic and Industrial Electricity,Unknown
F,A,D,D,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,D,C,C,Networks,Electrical and Computer Engineering
A,B,A,F,F,B,Solar Electricity,Electrical and Renewable Energy
C,B,D,A,F,B,Solar Electricity,Electrical and Renewable Energy
F,A,C,F,A,C,Networks,Electrical and Computer Engineering
B,A,F,A,C,A,Electronics,Electronics and Telecommunication Engineering
F,F,C,D,C,C,Electronics,Electronics and Telecommunication Engineering
B,D,B,C,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,B,B,D,Networks,Electrical and Computer Engineering
B,B,F,D,C,A,Electronics,Electronics and Telecommunication Engineering
C,B,A,F,A,B,Solar Electricity,Electrical and Renewable Energy
A,D,B,F,F,B,Computer,Electrical and Computer Engineering
C,B,B,A,D,B,Computer,Electrical and Computer Engineering
A,A,C,B,F,A,Networks,Electrical and Computer Engineering
F,B,C,D,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,C,B,A,F,Computer,Electrical and Computer Engineering
F,D,D,B,B,C,Solar Electricity,Electrical and Renewable Energy
C,D,F,D,C,B,Solar Electricity,Electrical and Renewable Energy
C,D,A,A,A,A,Solar Electricity,Electrical and Renewable Energy
A,C,C,A,D,B,Computer,Electrical and Computer Engineering
C,F,A,A,C,A,Electronics,Electronics and Telecommunication Engineering
B,A,C,C,D,C,Solar Electricity,Electrical and Renewable Energy
C,D,B,B,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,A,C,F,C,Networks,Electrical and Computer Engineering
A,A,D,A,F,B,Networks,Electrical and Computer Engineering
B,B,C,D,C,F,Networks,Electrical and Computer Engineering
A,A,F,B,B,B,Electronics,Electronics and Telecommunication Engineering
D,A,B,D,B,C,Networks,Electrical and Computer Engineering
F,B,C,F,D,D,Networks,Electrical and Computer Engineering
C,B,A,B,B,D,Computer,Electrical and Computer Engineering
D,A,C,D,B,D,Electronics,Electronics and Telecommunication Engineering
C,D,B,A,D,B,Electronics,Electronics and Telecommunication Engineering
D,B,F,C,D,A,Computer,Electrical and Computer Engineering
C,C,F,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,F,F,C,F,Networks,Electrical and Computer Engineering
A,A,B,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,F,C,C,Computer,Electrical and Computer Engineering
B,A,B,C,C,B,Computer,Electrical and Computer Engineering
D,A,B,F,C,D,Computer,Electrical and Computer Engineering
F,D,C,D,D,C,Computer,Electrical and Computer Engineering
D,D,D,D,B,F,Solar Electricity,Electrical and Renewable Energy
A,F,F,A,B,B,Computer,Electrical and Computer Engineering
F,F,A,C,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,C,B,A,Computer,Electrical and Computer Engineering
F,F,C,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,A,B,C,C,Computer,Electrical and Computer Engineering
B,A,D,D,F,D,Computer,Electrical and Computer Engineering
C,A,B,F,A,A,Solar Electricity,Electrical and Renewable Energy
D,C,F,F,D,A,Computer,Electrical and Computer Engineering
C,C,A,A,C,B,Networks,Electrical and Computer Engineering
F,B,A,C,F,F,Solar Electricity,Electrical and Renewable Energy
A,A,C,D,C,A,Solar Electricity,Electrical and Renewable Energy
D,F,C,F,A,B,Networks,Electrical and Computer Engineering
B,B,B,B,B,C,Solar Electricity,Electrical and Renewable Energy
F,D,F,D,B,A,Computer,Electrical and Computer Engineering
D,A,A,A,C,F,Networks,Electrical and Computer Engineering
B,C,B,D,A,B,Computer,Electrical and Computer Engineering
D,A,F,F,C,C,Solar Electricity,Electrical and Renewable Energy
F,A,B,A,B,B,Electronics,Electronics and Telecommunication Engineering
D,A,A,B,C,D,Networks,Electrical and Computer Engineering
C,A,C,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,F,A,F,Solar Electricity,Electrical and Renewable Energy
D,C,C,A,B,A,Electronics,Electronics and Telecommunication Engineering
A,A,D,B,C,B,Solar Electricity,Electrical and Renewable Energy
D,D,B,A,A,C,Computer,Electrical and Computer Engineering
C,B,A,D,C,A,Computer,Electrical and Computer Engineering
B,A,B,C,B,F,Computer,Electrical and Computer Engineering
B,D,C,C,A,B,Electronics,Electronics and Telecommunication Engineering
B,F,B,C,B,C,Computer,Electrical and Computer Engineering
A,B,F,B,F,F,Solar Electricity,Electrical and Renewable Energy
C,C,B,F,F,C,Solar Electricity,Electrical and Renewable Energy
F,A,D,C,D,B,Solar Electricity,Electrical and Renewable Energy
B,A,D,F,A,C,Networks,Electrical and Computer Engineering
C,D,C,C,F,A,Solar Electricity,Electrical and Renewable Energy
D,C,A,D,D,A,Computer,Electrical and Computer Engineering
A,F,F,C,A,B,Networks,Electrical and Computer Engineering
C,B,A,F,B,F,Networks,Electrical and Computer Engineering
C,C,A,B,C,D,Networks,Electrical and Computer Engineering
F,A,F,D,C,D,Networks,Electrical and Computer Engineering
C,D,D,F,B,D,Electronics,Electronics and Telecommunication Engineering
F,F,C,A,F,F,Solar Electricity,Unknown
A,D,B,C,C,A,Electronics,Electronics and Telecommunication Engineering
A,B,D,D,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,C,B,D,A,Electronics,Electronics and Telecommunication Engineering
F,D,D,A,D,B,Networks,Electrical and Computer Engineering
F,D,F,C,B,A,Solar Electricity,Electrical and Renewable Energy
B,A,A,D,A,A,Solar Electricity,Electrical and Renewable Energy
B,D,F,F,F,A,Computer,Electrical and Computer Engineering
D,F,B,C,F,D,Electronics,Electronics and Telecommunication Engineering
A,C,F,D,B,C,Solar Electricity,Electrical and Renewable Energy
B,B,A,C,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,D,D,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,F,F,A,Electronics,Electronics and Telecommunication Engineering
C,B,B,C,D,D,Computer,Electrical and Computer Engineering
F,F,D,D,D,D,Domestic and Industrial Electricity,Unknown
A,D,C,A,D,C,Computer,Electrical and Computer Engineering
D,D,A,B,F,D,Electronics,Electronics and Telecommunication Engineering
F,C,F,D,F,B,Solar Electricity,Electrical and Renewable Energy
F,A,D,D,F,F,Computer,Electrical and Computer Engineering
C,F,C,D,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,C,C,C,A,Computer,Electrical and Computer Engineering
B,A,F,B,C,D,Solar Electricity,Electrical and Renewable Energy
A,B,D,C,A,F,Solar Electricity,Electrical and Renewable Energy
B,B,D,D,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,D,F,C,Computer,Electrical and Computer Engineering
C,A,D,B,B,C,Computer,Electrical and Computer Engineering
A,C,F,A,B,A,Networks,Electrical and Computer Engineering
F,A,D,C,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,A,A,B,F,Computer,Electrical and Computer Engineering
C,A,C,D,C,F,Electronics,Electronics and Telecommunication Engineering
A,D,D,D,A,C,Networks,Electrical and Computer Engineering
D,D,F,F,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,D,F,A,A,Solar Electricity,Electrical and Renewable Energy
C,F,B,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,A,F,B,F,Electronics,Electronics and Telecommunication Engineering
A,D,C,B,F,A,Electronics,Electronics and Telecommunication Engineering
A,F,B,A,D,C,Solar Electricity,Electrical and Renewable Energy
C,D,F,F,C,B,Solar Electricity,Electrical and Renewable Energy
D,F,D,F,D,D,Solar Electricity,Unknown
A,F,A,B,C,B,Networks,Electrical and Computer Engineering
F,D,D,B,F,A,Electronics,Electronics and Telecommunication Engineering
A,B,D,A,F,B,Solar Electricity,Electrical and Renewable Energy
D,F,D,C,B,C,Electronics,Electronics and Telecommunication Engineering
C,A,D,B,D,B,Networks,Electrical and Computer Engineering
A,D,A,F,F,C,Networks,Electrical and Computer Engineering
A,B,B,A,C,B,Electronics,Electronics and Telecommunication Engineering
F,D,F,C,F,A,Solar Electricity,Electrical and Renewable Energy
F,C,B,A,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,A,F,C,F,Computer,Electrical and Computer Engineering
A,C,F,C,A,B,Electronics,Electronics and Telecommunication Engineering
F,F,C,C,B,D,Networks,Electrical and Computer Engineering
D,F,B,B,B,B,Solar Electricity,Electrical and Renewable Energy
B,C,A,D,A,D,Computer,Electrical and Computer Engineering
B,C,A,F,F,C,Electronics,Electronics and Telecommunication Engineering
A,F,A,D,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,F,A,F,Domestic and Industrial Electricity,Unknown
C,A,D,A,A,D,Networks,Electrical and Computer Engineering
C,D,C,D,B,F,Networks,Electrical and Computer Engineering
B,C,F,C,D,F,Networks,Electrical and Computer Engineering
D,A,F,B,B,D,Electronics,Electronics and Telecommunication Engineering
B,D,B,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,C,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,A,F,A,C,Networks,Electrical and Computer Engineering
C,B,F,C,C,A,Networks,Electrical and Computer Engineering
F,B,C,C,B,C,Solar Electricity,Electrical and Renewable Energy
F,A,B,C,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,C,F,A,Networks,Electrical and Computer Engineering
B,F,C,C,B,C,Networks,Electrical and Computer Engineering
A,B,A,B,C,F,Networks,Electrical and Computer Engineering
F,A,F,A,F,C,Solar Electricity,Electrical and Renewable Energy
C,F,D,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,B,B,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,A,D,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,D,A,B,B,Solar Electricity,Electrical and Renewable Energy
F,B,B,F,B,D,Electronics,Electronics and Telecommunication Engineering
D,D,A,A,F,C,Solar Electricity,Electrical and Renewable Energy
B,A,F,A,B,D,Computer,Electrical and Computer Engineering
F,B,B,F,F,F,Solar Electricity,Unknown
A,D,D,D,A,B,Computer,Electrical and Computer Engineering
F,C,A,C,A,B,Networks,Electrical and Computer Engineering
A,B,C,F,A,A,Computer,Electrical and Computer Engineering
D,C,A,F,C,D,Solar Electricity,Electrical and Renewable Energy
F,A,D,A,A,B,Electronics,Electronics and Telecommunication Engineering
D,F,D,F,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,C,B,F,A,Solar Electricity,Electrical and Renewable Energy
B,B,D,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,A,A,B,F,Computer,Electrical and Computer Engineering
A,C,B,D,B,D,Networks,Electrical and Computer Engineering
A,D,A,D,B,F,Networks,Electrical and Computer Engineering
F,A,D,D,F,F,Solar Electricity,Electrical and Renewable Energy
B,A,C,D,F,F,Computer,Electrical and Computer Engineering
B,B,C,D,A,C,Computer,Electrical and Computer Engineering
B,C,F,A,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,C,B,F,F,Computer,Electrical and Computer Engineering
D,B,C,B,D,A,Electronics,Electronics and Telecommunication Engineering
B,C,D,D,F,C,Networks,Electrical and Computer Engineering
A,B,B,B,F,F,Electronics,Electronics and Telecommunication Engineering
A,C,B,C,C,F,Electronics,Electronics and Telecommunication Engineering
D,B,D,B,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,C,F,C,C,Computer,Electrical and Computer Engineering
F,B,A,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,B,F,C,F,Networks,Electrical and Computer Engineering
B,F,D,F,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,A,D,A,A,Electronics,Electronics and Telecommunication Engineering
B,C,C,A,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,B,B,B,Computer,Electrical and Computer Engineering
A,F,B,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,A,A,D,F,Computer,Electrical and Computer Engineering
A,B,A,C,A,C,Electronics,Electronics and Telecommunication Engineering
C,A,B,D,C,B,Computer,Electrical and Computer Engineering
D,F,A,B,B,D,Computer,Electrical and Computer Engineering
C,B,B,A,C,B,Computer,Electrical and Computer Engineering
B,A,D,D,F,A,Computer,Electrical and Computer Engineering
A,D,F,A,A,D,Networks,Electrical and Computer Engineering
B,C,C,F,B,F,Solar Electricity,Electrical and Renewable Energy
C,C,D,B,D,B,Networks,Electrical and Computer Engineering
B,F,C,B,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,C,D,A,C,Networks,Electrical and Computer Engineering
C,B,B,D,A,A,Networks,Electrical and Computer Engineering
B,C,F,D,C,A,Computer,Electrical and Computer Engineering
A,A,C,B,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,C,F,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,D,B,A,F,Electronics,Electronics and Telecommunication Engineering
F,D,F,D,B,D,Computer,Electrical and Computer Engineering
B,B,F,C,A,A,Networks,Electrical and Computer Engineering
F,B,C,F,A,B,Electronics,Electronics and Telecommunication Engineering
C,C,F,B,D,F,Electronics,Electronics and Telecommunication Engineering
A,F,D,C,B,D,Networks,Electrical and Computer Engineering
C,C,B,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,B,D,C,Computer,Electrical and Computer Engineering
F,D,A,D,B,F,Computer,Electrical and Computer Engineering
D,F,C,B,D,F,Networks,Electrical and Computer Engineering
B,C,C,F,C,C,Computer,Electrical and Computer Engineering
F,B,B,D,F,C,Solar Electricity,Electrical and Renewable Energy
A,F,A,A,F,C,Electronics,Electronics and Telecommunication Engineering
A,C,A,C,C,F,Electronics,Electronics and Telecommunication Engineering
A,D,A,D,A,C,Solar Electricity,Electrical and Renewable Energy
A,F,B,D,D,A,Computer,Electrical and Computer Engineering
B,D,F,F,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,A,F,B,B,Solar Electricity,Electrical and Renewable Energy
D,A,F,C,A,C,Solar Electricity,Electrical and Renewable Energy
B,F,D,F,F,D,Electronics,Electronics and Telecommunication Engineering
A,C,B,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,F,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,A,C,D,A,Computer,Electrical and Computer Engineering
A,D,A,B,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,D,C,D,Computer,Electrical and Computer Engineering
A,D,F,D,D,A,Networks,Electrical and Computer Engineering
D,D,D,F,D,F,Solar Electricity,Unknown
D,C,B,D,A,F,Solar Electricity,Electrical and Renewable Energy
C,B,C,F,A,C,Computer,Electrical and Computer Engineering
C,A,D,D,B,A,Computer,Electrical and Computer Engineering
B,D,D,B,A,A,Computer,Electrical and Computer Engineering
B,D,D,D,F,A,Solar Electricity,Electrical and Renewable Energy
D,A,A,B,D,C,Computer,Electrical and Computer Engineering
A,D,F,D,C,B,Solar Electricity,Electrical and Renewable Energy
F,B,B,D,A,F,Solar Electricity,Electrical and Renewable Energy
F,F,A,A,D,C,Electronics,Electronics and Telecommunication Engineering
A,A,D,D,C,C,Electronics,Electronics and Telecommunication Engineering
A,C,B,B,B,C,Networks,Electrical and Computer Engineering
C,A,A,C,F,A,Networks,Electrical and Computer Engineering
F,B,C,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,D,D,A,B,Computer,Electrical and Computer Engineering
B,F,A,F,F,D,Solar Electricity,Electrical and Renewable Energy
C,D,A,A,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,D,F,D,B,Electronics,Electronics and Telecommunication Engineering
A,C,C,A,A,A,Solar Electricity,Electrical and Renewable Energy
F,A,F,A,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,C,F,F,F,Electronics,Unknown
C,A,D,D,F,F,Networks,Electrical and Computer Engineering
A,C,F,B,C,A,Computer,Electrical and Computer Engineering
D,B,A,F,F,A,Computer,Electrical and Computer Engineering
B,C,C,C,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,A,A,A,Electronics,Electronics and Telecommunication Engineering
D,F,F,B,F,F,Domestic and Industrial Electricity,Unknown
D,D,A,C,C,A,Electronics,Electronics and Telecommunication Engineering
A,D,C,B,F,F,Electronics,Electronics and Telecommunication Engineering
B,F,F,D,C,B,Computer,Electrical and Computer Engineering
D,A,C,C,D,A,Networks,Electrical and Computer Engineering
C,F,A,F,C,F,Networks,Electrical and Computer Engineering
D,A,A,B,A,A,Solar Electricity,Electrical and Renewable Energy
F,C,B,F,B,F,Electronics,Electronics and Telecommunication Engineering
C,B,F,F,B,F,Computer,Electrical and Computer Engineering
C,A,D,B,D,D,Electronics,Electronics and Telecommunication Engineering
D,D,C,B,A,A,Solar Electricity,Electrical and Renewable Energy
A,D,A,A,D,B,Computer,Electrical and Computer Engineering
C,B,C,A,D,C,Electronics,Electronics and Telecommunication Engineering
F,A,C,C,F,C,Networks,Electrical and Computer Engineering
A,B,D,C,F,A,Networks,Electrical and Computer Engineering
A,C,A,C,A,F,Solar Electricity,Electrical and Renewable Energy
A,B,B,A,B,F,Networks,Electrical and Computer Engineering
C,C,F,F,C,B,Electronics,Electronics and Telecommunication Engineering
A,D,C,D,F,A,Solar Electricity,Electrical and Renewable Energy
D,C,D,D,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,B,A,B,Solar Electricity,Electrical and Renewable Energy
F,A,F,A,B,A,Networks,Electrical and Computer Engineering
B,A,F,B,A,A,Computer,Electrical and Computer Engineering
F,A,A,D,A,A,Solar Electricity,Electrical and Renewable Energy
C,F,C,B,B,D,Electronics,Electronics and Telecommunication Engineering
A,C,C,A,F,B,Solar Electricity,Electrical and Renewable Energy
A,A,F,A,B,A,Networks,Electrical and Computer Engineering
D,B,B,A,D,B,Solar Electricity,Electrical and Renewable Energy
A,B,C,D,F,C,Electronics,Electronics and Telecommunication Engineering
F,F,D,A,D,A,Electronics,Electronics and Telecommunication Engineering
C,C,F,C,A,F,Networks,Electrical and Computer Engineering
B,C,C,C,D,A,Electronics,Electronics and Telecommunication Engineering
A,C,A,A,B,A,Networks,Electrical and Computer Engineering
B,F,F,C,B,B,Solar Electricity,Electrical and Renewable Energy
A,C,D,A,C,B,Solar Electricity,Electrical and Renewable Energy
C,C,A,D,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,F,C,B,A,Networks,Electrical and Computer Engineering
C,C,F,D,F,C,Computer,Electrical and Computer Engineering
B,A,C,C,B,B,Networks,Electrical and Computer Engineering
A,A,A,F,F,D,Solar Electricity,Electrical and Renewable Energy
B,C,F,F,A,F,Solar Electricity,Electrical and Renewable Energy
F,B,D,D,C,F,Electronics,Electronics and Telecommunication Engineering
C,D,A,C,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,C,F,D,F,Computer,Electrical and Computer Engineering
B,C,B,A,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,F,B,A,B,Networks,Electrical and Computer Engineering
A,B,B,F,D,C,Networks,Electrical and Computer Engineering
B,C,F,F,A,F,Solar Electricity,Electrical and Renewable Energy
F,A,C,A,A,A,Electronics,Electronics and Telecommunication Engineering
A,F,C,F,D,B,Computer,Electrical and Computer Engineering
A,C,C,F,A,A,Electronics,Electronics and Telecommunication Engineering
C,C,C,F,D,A,Computer,Electrical and Computer Engineering
F,B,A,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,A,F,D,F,Solar Electricity,Electrical and Renewable Energy
C,B,F,B,B,F,Electronics,Electronics and Telecommunication Engineering
D,B,A,C,C,A,Networks,Electrical and Computer Engineering
F,C,F,C,D,D,Solar Electricity,Electrical and Renewable Energy
D,A,A,D,C,F,Computer,Electrical and Computer Engineering
A,C,A,F,D,A,Solar Electricity,Electrical and Renewable Energy
F,C,A,B,A,C,Networks,Electrical and Computer Engineering
C,C,D,B,C,C,Networks,Electrical and Computer Engineering
A,C,C,D,F,D,Computer,Electrical and Computer Engineering
F,F,D,B,F,A,Solar Electricity,Electrical and Renewable Energy
F,D,A,C,F,C,Electronics,Electronics and Telecommunication Engineering
D,A,A,A,C,F,Solar Electricity,Electrical and Renewable Energy
A,F,D,C,B,A,Networks,Electrical and Computer Engineering
C,D,F,A,D,D,Computer,Electrical and Computer Engineering
C,D,C,B,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,F,F,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,A,C,C,Solar Electricity,Electrical and Renewable Energy
B,A,B,C,F,C,Networks,Electrical and Computer Engineering
D,B,C,C,A,D,Solar Electricity,Electrical and Renewable Energy
A,D,F,C,A,B,Computer,Electrical and Computer Engineering
A,B,C,C,B,D,Electronics,Electronics and Telecommunication Engineering
B,B,B,D,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,B,B,A,A,Solar Electricity,Electrical and Renewable Energy
F,B,A,F,D,F,Networks,Electrical and Computer Engineering
C,C,B,D,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,B,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,F,A,F,A,Electronics,Electronics and Telecommunication Engineering
A,C,D,D,B,C,Solar Electricity,Electrical and Renewable Energy
B,A,D,D,A,D,Electronics,Electronics and Telecommunication Engineering
C,D,F,D,B,C,Networks,Electrical and Computer Engineering
F,A,D,D,B,C,Networks,Electrical and Computer Engineering
C,C,D,A,B,F,Solar Electricity,Electrical and Renewable Energy
B,D,D,C,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,B,D,D,A,Computer,Electrical and Computer Engineering
F,B,F,B,B,A,Electronics,Electronics and Telecommunication Engineering
C,B,F,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,F,A,A,F,Networks,Electrical and Computer Engineering
A,B,D,F,B,B,Networks,Electrical and Computer Engineering
F,A,B,A,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,F,F,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,C,B,F,A,Networks,Electrical and Computer Engineering
F,F,F,F,B,D,Electronics,Unknown
F,B,A,D,B,B,Electronics,Electronics and Telecommunication Engineering
A,B,C,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,F,C,B,A,Solar Electricity,Electrical and Renewable Energy
A,B,D,D,F,B,Networks,Electrical and Computer Engineering
A,D,F,C,B,D,Computer,Electrical and Computer Engineering
D,F,B,A,A,B,Networks,Electrical and Computer Engineering
B,C,B,D,F,D,Electronics,Electronics and Telecommunication Engineering
B,F,F,D,A,C,Electronics,Electronics and Telecommunication Engineering
F,A,D,C,A,F,Computer,Electrical and Computer Engineering
C,D,D,F,B,A,Electronics,Electronics and Telecommunication Engineering
C,C,D,B,F,B,Computer,Electrical and Computer Engineering
F,B,F,F,C,A,Electronics,Electronics and Telecommunication Engineering
C,A,F,A,A,B,Computer,Electrical and Computer Engineering
A,A,A,D,A,C,Solar Electricity,Electrical and Renewable Energy
A,D,B,D,A,D,Networks,Electrical and Computer Engineering
D,C,C,A,B,A,Electronics,Electronics and Telecommunication Engineering
D,A,C,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,B,D,A,C,Computer,Electrical and Computer Engineering
F,C,A,F,B,F,Computer,Electrical and Computer Engineering
F,A,B,A,B,C,Computer,Electrical and Computer Engineering
A,C,A,D,B,F,Electronics,Electronics and Telecommunication Engineering
C,D,A,F,D,C,Networks,Electrical and Computer Engineering
F,A,D,A,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,B,A,B,C,Computer,Electrical and Computer Engineering
A,D,C,A,D,D,Computer,Electrical and Computer Engineering
A,C,F,B,D,B,Computer,Electrical and Computer Engineering
A,C,F,A,B,C,Computer,Electrical and Computer Engineering
C,A,B,C,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,C,C,B,Computer,Electrical and Computer Engineering
B,A,A,A,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,F,D,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
